experiment_id,date,git_commit,data_version,model_init,trainable_modules,losses,seed,config_path,checkpoint_path,generation_path,evaluation_path,notes,status
B3-seed42,2026-06-27,4c10480bbdba29172ddcc51cc9c6cb750da16fef,D1,base,prefix,LM,42,configs/b3_prefix_only.json,output/other/casino_augmented_new_fix_seed42/b3_prefix_only,output/need/casino_augmented_new_fix_seed42/b3_prefix_only/swap_samples_valid.jsonl,output/need/casino_augmented_new_fix_seed42/b3_prefix_only/strategy_eval_llm.json,Checkpoint and original environment retained on experiment host; local copy contains exported results,remote_checkpoint_pending_manifest
B4-seed42,2026-06-27,4c10480bbdba29172ddcc51cc9c6cb750da16fef,D1,base,prefix+lora,LM,42,configs/b4_prefix_lora.json,output/other/casino_augmented_new_fix_seed42/b4_prefix_lora,output/need/casino_augmented_new_fix_seed42/b4_prefix_lora/swap_samples_valid.jsonl,output/need/casino_augmented_new_fix_seed42/b4_prefix_lora/strategy_eval_llm.json,Checkpoint and original environment retained on experiment host; local copy contains exported results,remote_checkpoint_pending_manifest
B9-seed42,2026-06-27,4c10480bbdba29172ddcc51cc9c6cb750da16fef,D1,B3,prefix_then_frozen_prefix+lora,LM,42,configs/b9_prefix_then_lora.json,output/other/casino_augmented_new_fix_seed42/b9_prefix_then_lora,output/need/casino_augmented_new_fix_seed42/b9_prefix_then_lora/swap_samples_valid.jsonl,output/need/casino_augmented_new_fix_seed42/b9_prefix_then_lora/strategy_eval_llm.json,Checkpoint and original environment retained on experiment host; local copy contains exported results,remote_checkpoint_pending_manifest
