run_id,adapter_mode,best_valid_loss,last_train_loss,last_gen_loss,last_orth_loss,last_orth_local_loss,last_orth_global_loss,last_cls_loss,last_valid_loss,last_valid_ppl,last_test_loss,last_test_ppl,lambda_orth,lambda_cls,orth_alpha,num_virtual_tokens,lora_r,seed,output_dir
b4_seed_42,prefix_lora,2.04484784325888,2.0007556278356082,2.0007556278356082,0.0,0.0,0.0,0.0,2.04484784325888,7.727982583802093,2.0799913160721126,8.004399404367334,0.0,0.0,0.5,20,16,42,outputs/followup/b4_seed_42
b4_seed_43,prefix_lora,1.9767839908599854,1.9244475425986562,1.9244475425986562,0.0,0.0,0.0,0.0,1.9767839908599854,7.219487672215037,2.0694818388608334,7.920717846163027,0.0,0.0,0.5,20,16,43,outputs/followup/b4_seed_43
b4_seed_44,prefix_lora,1.9764968766722568,1.8842797396743562,1.8842797396743562,0.0,0.0,0.0,0.0,1.9764968766722568,7.21741515241537,2.092990561554045,8.109129790381168,0.0,0.0,0.5,20,16,44,outputs/followup/b4_seed_44
b5_alpha_global_only,prefix_lora_orth,2.001096487045288,1.948567443377709,1.946054356251185,0.05026177792024862,0.002347801747629468,0.05026177792024862,0.0,2.0162748070650323,7.510295458892135,2.170700203101287,8.764418765914263,0.05,0.0,0.0,20,16,42,outputs/followup/b5_alpha_global_only
b5_alpha_local_global,prefix_lora_orth,1.9772070895793825,1.897320650765643,1.8960177020389215,0.02605898189919157,0.001856184974117741,0.05026177866920751,0.0,1.9772070895793825,7.222542874484362,2.0773680804289536,7.983429495079588,0.05,0.0,0.5,20,16,42,outputs/followup/b5_alpha_local_global
b5_alpha_local_only,prefix_lora_orth,2.109786793243053,2.0919554821064414,2.091851120203226,0.0020872359554141916,0.0020872359554141916,0.05026177866920751,0.0,2.509883107141007,12.30349178611957,2.40156232609285,11.040411636766603,0.05,0.0,1.0,20,16,42,outputs/followup/b5_alpha_local_only
b5_lambda_001,prefix_lora_orth,1.992354115774465,1.9112731642233627,1.9110072529550486,0.026591140000607954,0.0029205017386696726,0.05026177779542214,0.0,1.992354115774465,7.332775662489966,2.0835382937839464,8.032841242114516,0.01,0.0,0.5,20,16,42,outputs/followup/b5_lambda_001
b5_lambda_005,prefix_lora_orth,1.9772070895793825,1.897320650765643,1.8960177020389215,0.02605898189919157,0.001856184974117741,0.05026177866920751,0.0,1.9772070895793825,7.222542874484362,2.0773680804289536,7.983429495079588,0.05,0.0,0.5,20,16,42,outputs/followup/b5_lambda_005
b5_lambda_01,prefix_lora_orth,1.9920600209125252,1.957110348644213,1.95449834091111,0.026120079219029212,0.001978379795669105,0.05026177866920751,0.0,1.9920600209125252,7.330619447925224,2.0724293777512615,7.944098911426423,0.1,0.0,0.5,20,16,42,outputs/followup/b5_lambda_01
b5_seed_42,prefix_lora_orth,1.9772070895793825,1.897320650765643,1.8960177020389215,0.02605898189919157,0.001856184974117741,0.05026177866920751,0.0,1.9772070895793825,7.222542874484362,2.0773680804289536,7.983429495079588,0.05,0.0,0.5,20,16,42,outputs/followup/b5_seed_42
b5_seed_43,prefix_lora_orth,1.990156850149465,1.8793713494872002,1.8780630982797886,0.026165024834777673,0.0020682714801496236,0.050261778419554544,0.0,1.990156850149465,7.316681294866576,2.0588129204171848,7.836661545667762,0.05,0.0,0.5,20,16,43,outputs/followup/b5_seed_43
b5_seed_44,prefix_lora_orth,1.9603551321251447,1.886803900767654,1.8855017704891617,0.026042612716165512,0.0018234466100160364,0.05026177873162075,0.0,1.9603551321251447,7.1018487119967775,2.105214126935135,8.20886055957227,0.05,0.0,0.5,20,16,44,outputs/followup/b5_seed_44
